ApplicationDate,Age,AnnualIncome,CreditScore,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,EmploymentStatus,EducationLevel,Experience,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2009-06-11,43.0,43876.0,,,24.0,Married,3.0,Mortgage,,0.3392792222891408,7.0,0.0,0.1474660095421333,,,0.0,26.0,6.0,5146.0,,,22050.0,3656.3333333333335,0.6940749089989623,6.0,Employed,Associate,20.0,,,0.1097080174342878,1694.3545204133927,0.6575862486316143,0.0,48.636125408119184
2013-09-04,39.0,21974.0,632.0,8324.0,72.0,Single,2.0,Own,341.0,0.1554566861616832,1.0,2.0,0.450717883846466,0.0,Home,0.0,23.0,19.0,2909.0,1665.0,491021.0,47194.0,1831.1666666666667,0.759304742503842,4.0,Self-Employed,High School,17.0,443827.0,0.217324,0.2127162532053609,205.56623215966744,0.2984797845597528,0.0,65.52040857717
1993-07-10,47.0,300000.0,850.0,52405.0,72.0,Married,1.0,Mortgage,1197.0,0.1810555873755405,3.0,2.0,0.1523400974847446,0.0,Education,0.0,24.0,16.0,1243.0,761.0,37494.0,63390.0,25000.0,0.671558217029839,9.0,Employed,Associate,16.0,2318.0,0.152405,0.1457542220846291,1096.0569605538362,0.0917222784221534,1.0,28.41603487557448
1985-05-01,44.0,300000.0,845.0,30450.0,48.0,Divorced,0.0,Rent,1187.0,0.0503419740571136,1.0,1.0,0.1039892737234038,0.0,Debt Consolidation,0.0,23.0,21.0,5588.0,1769.0,7357.0,25327.0,25000.0,0.7480587882757795,3.0,Employed,High School,20.0,6284.0,0.11295,0.1052856836177929,780.0430932431767,0.078681723729727,1.0,30.76022895918405
1998-04-11,28.0,300000.0,850.0,64656.0,48.0,Divorced,2.0,Other,1060.0,0.13991789882676,1.0,1.0,0.2035831707424226,0.0,Other,0.0,36.0,11.0,5610.0,4569.0,20648.0,54520.0,25000.0,0.8598897552046495,8.0,Employed,High School,6.0,3534.0,0.144656,0.1487520417344647,1795.337375880133,0.1142134950352053,1.0,29.978283610257684
1984-03-04,27.0,41790.0,545.0,26061.0,60.0,Single,0.0,Rent,561.0,0.1116051031873944,2.0,1.0,0.1064240197851767,1.0,Other,0.0,19.0,22.0,9017.0,1446.0,34768.0,15463.0,3482.5,0.8605379085108017,6.0,Employed,Bachelor,4.0,19305.0,0.268561,0.2321339304404862,737.8705326192667,0.3729707200629624,0.0,84.28489052117776
2003-08-14,50.0,42375.0,528.0,23686.0,36.0,Married,0.0,Rent,646.0,0.3320688745146548,4.0,1.0,0.2791022583462624,0.0,Debt Consolidation,0.0,25.0,2.0,828.0,4306.0,23399.0,6338.0,3531.25,0.9167953532650016,3.0,Employed,High School,24.0,17061.0,0.2546859999999999,0.275715894893913,974.263970145291,0.4588358145544186,0.0,72.29439726113696
1979-06-19,45.0,300000.0,850.0,13218.0,60.0,Single,2.0,Rent,121.0,0.3625776684646666,5.0,0.0,0.0924000725847685,0.0,Auto,0.0,27.0,26.0,489.0,3327.0,213646.0,63489.0,25000.0,0.7363185231864865,2.0,Employed,High School,24.0,150157.0,0.103218,0.1027769872018135,282.6529398127997,0.0161461175925119,1.0,23.430111062949656
1983-12-01,56.0,15000.0,,,12.0,Married,1.0,Own,,0.2618375494116952,5.0,2.0,0.3056060081734282,,,0.0,14.0,12.0,14140.0,,,49355.0,1250.0,0.8989507592503984,3.0,Employed,Bachelor,34.0,,,0.2188681868752727,822.3094099779273,1.2210475279823418,0.0,70.40688409351475
1989-11-19,37.0,283387.0,850.0,14033.0,60.0,Married,0.0,Other,916.0,0.5788897856579425,3.0,3.0,0.3381258889658418,0.0,Education,0.0,25.0,16.0,4289.0,1301.0,6731.0,49374.0,23615.58333333333,0.6606672104878097,4.0,Employed,Associate,13.0,6386.0,0.104033,0.1004701671180476,298.4845235573673,0.0514272506596576,1.0,36.52012782794981
1997-09-03,51.0,49140.0,735.0,110177.0,24.0,Divorced,2.0,Mortgage,501.0,0.2819488741922271,5.0,2.0,0.1787033737930069,0.0,Home,0.0,26.0,28.0,9151.0,823.0,13379.0,46701.0,4095.0,0.8830144164458625,8.0,Employed,High School,26.0,3282.0,0.227677,0.2306316405101783,5773.789383650656,1.53230509979259,0.0,52.06812782827349
2000-06-05,23.0,15000.0,475.0,8935.0,36.0,Single,0.0,Rent,367.0,0.1907066904558263,2.0,2.0,0.0310065277990936,0.0,Home,0.0,26.0,28.0,1690.0,1112.0,10290.0,295300.0,1250.0,0.644071393033229,11.0,Employed,High School,0.0,10962.0,0.266435,0.2476724707943588,354.15507019117973,0.5769240561529437,0.0,67.03186162968557
2011-05-02,25.0,36865.0,850.0,19799.0,36.0,Married,1.0,Mortgage,599.0,0.2707386106786287,1.0,1.0,0.3453363133039564,0.0,Other,1.0,15.0,12.0,28224.0,1474.0,29698.0,30385.0,3072.083333333333,0.9152952286178854,3.0,Self-Employed,Associate,2.0,2299.0,0.089799,0.0869217729248994,626.7702457442479,0.3990029282227308,0.0,57.05215793207751
1981-11-05,40.0,300000.0,850.0,13095.0,36.0,Single,0.0,Rent,718.0,0.5112382639627766,3.0,2.0,0.3363465279755605,1.0,Auto,0.0,37.0,22.0,13725.0,9846.0,410020.0,6900.0,25000.0,0.9608542932354822,3.0,Employed,Associate,16.0,403120.0,0.083095,0.0901425616376017,416.5043899604309,0.0453801755984172,1.0,38.652892015106005
1986-10-19,18.0,68651.0,850.0,9670.0,24.0,Married,0.0,Mortgage,374.0,0.1819874217944217,2.0,2.0,0.5284558913408471,0.0,Debt Consolidation,0.0,20.0,22.0,2517.0,301.0,68537.0,6063.0,5720.916666666667,0.7621949847311579,6.0,Employed,Bachelor,0.0,62474.0,0.06967,0.0814864549646037,438.0037747054415,0.1419359557248299,0.0,59.867413850897
1988-03-25,38.0,300000.0,745.0,14444.0,24.0,Married,1.0,Other,252.0,0.3917484907096834,3.0,1.0,0.2685280306908614,0.0,Home,0.0,23.0,30.0,5851.0,729.0,8127.0,29949.0,25000.0,0.4730074509083574,4.0,Employed,Associate,15.0,8715.0,0.126944,0.1328082221740873,688.600850618967,0.0376240340247586,1.0,32.17304782461823
2003-03-05,37.0,300000.0,850.0,50557.0,60.0,Single,3.0,Own,642.0,0.1127036607092193,2.0,0.0,0.1987891276288006,0.0,Debt Consolidation,0.0,26.0,14.0,1507.0,11951.0,84693.0,106735.0,25000.0,0.7618152465335256,5.0,Employed,Associate,15.0,1909.0,0.140557,0.1676208379898665,1250.0131677683378,0.0756805267107335,1.0,-9999999.0
2007-05-03,36.0,37953.0,833.0,59352.0,12.0,Married,0.0,Rent,1685.0,0.270935315356856,2.0,1.0,0.3170703018635524,0.0,Auto,0.0,29.0,11.0,16034.0,4693.0,20727.0,6330.0,3162.75,0.8035868109565546,7.0,Employed,High School,16.0,14397.0,0.117852,0.1022225184233867,5224.120793997059,2.184529537268851,0.0,50.87721333576492
2003-02-01,58.0,42624.0,733.0,31729.0,24.0,Divorced,0.0,Own,239.0,0.4991194234597936,4.0,2.0,0.2781886787161539,0.0,Debt Consolidation,0.0,21.0,14.0,3021.0,213.0,50194.0,43851.0,3552.0,0.7838764301862637,3.0,Employed,Bachelor,40.0,6343.0,0.150229,0.1595114364966231,1552.809953416085,0.5044510003986725,0.0,56.85330985011071
1981-02-03,38.0,191454.0,524.0,42585.0,48.0,Divorced,6.0,Own,847.0,0.4997919866251557,1.0,0.0,0.21553750960384,1.0,Debt Consolidation,0.0,21.0,7.0,3770.0,3673.0,1122782.0,10441.0,15954.5,0.6193349667103776,4.0,Employed,Associate,16.0,1112341.0,0.285585,0.2885975102392847,1505.203003492361,0.1474319473184594,1.0,43.88574654180409
1983-05-13,41.0,42324.0,850.0,66768.0,48.0,Married,4.0,Rent,1119.0,0.3135169381303227,5.0,0.0,0.5297721245418324,0.0,Home,0.0,30.0,8.0,2260.0,1316.0,201283.0,3500.0,3527.0,0.8223118852741639,6.0,Employed,High School,20.0,197783.0,0.146768,0.1550901801211642,1875.4766707401216,0.8490152171080583,0.0,53.37132015937764
2017-12-19,49.0,15000.0,432.0,27467.0,48.0,Married,0.0,Rent,262.0,0.1345766945465364,3.0,0.0,0.4068501071303933,0.0,Education,1.0,31.0,5.0,2384.0,1498.0,31790.0,2765.0,1250.0,0.800930906723244,6.0,Self-Employed,Master,30.0,29025.0,0.316467,0.3641248215419608,1093.9890257470645,1.0847912205976515,0.0,83.34335633447239
1995-01-29,35.0,300000.0,850.0,66627.0,72.0,Single,0.0,Rent,138.0,0.0588773094540019,7.0,0.0,0.166687859332057,0.0,Education,0.0,22.0,29.0,1276.0,370.0,51880.0,67091.0,25000.0,0.6383584040937372,2.0,Employed,High School,12.0,10185.0,0.166627,0.1660421669910446,1467.5173571388136,0.0642206942855525,1.0,24.11172998782746
2006-03-20,61.0,300000.0,642.0,13816.0,108.0,Single,1.0,Other,565.0,0.2862077548724815,2.0,2.0,0.2946524787335252,0.0,Home,0.0,20.0,27.0,1042.0,1189.0,90634.0,50143.0,25000.0,0.8474982091212622,6.0,Employed,High School,36.0,40491.0,0.2478159999999999,0.2610888806273385,333.1941753713129,0.0359277670148525,1.0,39.414923339945645
1993-02-25,61.0,15000.0,300.0,90230.0,36.0,Married,1.0,Mortgage,1053.0,0.1327008540520007,0.0,2.0,0.4927652811385242,0.0,Home,0.0,20.0,12.0,3167.0,2779.0,8773.0,89915.0,1250.0,0.9482904238748024,9.0,Employed,Bachelor,38.0,5524.0,0.43523,0.3910476558132517,4293.965088537921,4.277572070830336,0.0,70.6169011858804
2008-11-13,37.0,69309.0,776.0,52918.0,48.0,Married,2.0,Mortgage,710.0,0.366243620119396,4.0,0.0,0.2885088177723534,0.0,Home,0.0,22.0,24.0,2950.0,5025.0,18415.0,7011.0,5775.75,0.6483875610992161,5.0,Self-Employed,High School,15.0,11404.0,0.169918,0.1359344,1435.293377951128,0.3714311349956504,0.0,53.21408446940806
1990-04-15,41.0,298539.0,761.0,9475.0,24.0,Married,0.0,Mortgage,941.0,0.0881303378312921,1.0,1.0,0.2775710406948034,0.0,Home,0.0,22.0,26.0,9658.0,1370.0,139217.0,164464.0,24878.25,0.6729592427016476,6.0,Employed,Bachelor,18.0,9403.0,0.1139749999999999,0.1173115060603765,444.8324854923352,0.0557045807278379,1.0,27.805931329717843
2014-06-14,58.0,300000.0,850.0,5764.0,36.0,Married,1.0,Rent,385.0,0.2596208794197442,1.0,0.0,0.4362334016224755,0.0,Home,0.0,24.0,21.0,4729.0,1572.0,22108.0,493650.0,25000.0,0.8568707618540253,4.0,Employed,Bachelor,33.0,10408.0,0.075764,0.0754988789868874,179.4283354927528,0.0225771334197101,1.0,32.81203090741367
2018-08-26,29.0,66271.0,850.0,12786.0,60.0,Married,0.0,Other,116.0,0.1681604816874755,2.0,1.0,0.143589235045434,0.0,Debt Consolidation,0.0,18.0,1.0,6828.0,1119.0,50629.0,14213.0,5522.583333333333,0.912807475475959,4.0,Employed,Associate,4.0,36416.0,0.102786,0.0963613482876919,269.38121894097384,0.0697827802099211,1.0,33.29590821807781
1979-05-30,34.0,15000.0,382.0,12537.0,12.0,Divorced,2.0,Mortgage,409.0,0.2878013828136835,5.0,0.0,0.1882601020084416,0.0,Debt Consolidation,0.0,25.0,11.0,2554.0,1730.0,11065.0,35870.0,1250.0,0.6729240812152743,9.0,Employed,Associate,7.0,5832.0,0.296537,0.3246606082959751,1237.453973654228,1.3171631789233822,0.0,68.49465797399274
2011-02-18,34.0,15000.0,300.0,15297.0,36.0,Married,3.0,Mortgage,257.0,0.172274312621359,5.0,4.0,0.0202506136052049,0.0,Debt Consolidation,0.0,15.0,20.0,2425.0,2659.0,30260.0,153787.0,1250.0,0.8723254634263508,3.0,Employed,Bachelor,14.0,7815.0,0.360297,0.3515830271513353,693.3469247982381,0.7602775398385905,0.0,62.88519188943231
1980-01-23,32.0,193051.0,850.0,40928.0,36.0,Divorced,2.0,Mortgage,377.0,0.6136304851973182,4.0,3.0,0.198615850894642,0.0,Auto,0.0,22.0,2.0,324.0,546.0,112794.0,44770.0,16087.583333333334,0.7884118511937039,6.0,Employed,Bachelor,10.0,68024.0,0.110928,0.1040873681787903,1328.499431663328,0.106013401536174,1.0,28.182203318594425
1989-10-21,34.0,82598.0,836.0,40239.0,48.0,Single,5.0,Mortgage,135.0,0.1590137586002344,3.0,1.0,0.3913965588427252,0.0,Other,0.0,22.0,16.0,477.0,302.0,79918.0,14119.0,6883.166666666667,0.752350367971114,2.0,Employed,High School,10.0,65799.0,0.127239,0.1101187234176083,1040.2300002830218,0.1707397273952911,0.0,40.96557808714898
2015-09-11,73.0,216946.0,763.0,30430.0,60.0,Married,1.0,Rent,428.0,0.0169127901668231,3.0,1.0,0.3417073013611467,0.0,Home,0.0,30.0,7.0,2889.0,246.0,57215.0,46188.0,18078.83333333333,0.7939950070496028,0.0,Employed,High School,52.0,11027.0,0.16393,0.1706261976221837,757.2888468361872,0.0655622420419562,1.0,26.804764769922123
1982-10-05,43.0,175906.0,721.0,25049.0,24.0,Single,0.0,Mortgage,226.0,0.3342098489067542,4.0,1.0,0.3574029802503345,0.0,Education,0.0,30.0,16.0,1223.0,3196.0,70985.0,59726.0,14658.833333333334,0.6327558660260623,8.0,Employed,High School,21.0,11259.0,0.149549,0.1328276667383618,1194.2047695910426,0.0968838881851245,1.0,34.63123867507704
1986-11-24,29.0,42413.0,703.0,17423.0,36.0,Married,6.0,Other,349.0,0.1091279074601751,2.0,0.0,0.1437089378274186,0.0,Debt Consolidation,1.0,31.0,26.0,2084.0,410.0,150466.0,61732.0,3534.4166666666665,0.8468799242220321,5.0,Employed,Bachelor,7.0,88734.0,0.1609229999999999,0.1410682031576572,596.3811766944892,0.2674787004063346,0.0,53.203831774876384
2017-06-12,39.0,162867.0,850.0,18886.0,120.0,Single,0.0,Mortgage,439.0,0.1290570700831472,1.0,2.0,0.1087289862565648,0.0,Home,0.0,22.0,19.0,6000.0,781.0,6781.0,28126.0,13572.25,0.7267987573990448,5.0,Employed,Doctorate,21.0,7212.0,0.158886,0.1601554962387136,316.54831751020896,0.055668611874244,1.0,27.6717046569446
2010-02-07,40.0,48030.0,621.0,16760.0,60.0,Married,0.0,Rent,1236.0,0.1209127262333481,2.0,3.0,0.4710714054344433,0.0,Debt Consolidation,0.0,30.0,14.0,3117.0,2750.0,281321.0,7746.0,4002.5,0.746953624258926,7.0,Employed,High School,21.0,273575.0,0.22126,0.2457608790622324,487.7716418139921,0.430673739366394,0.0,59.21493798917286
1987-03-11,65.0,15000.0,850.0,21197.0,60.0,Single,0.0,Rent,305.0,0.1705111438896853,7.0,0.0,0.1179351411264074,0.0,Home,0.0,22.0,29.0,528.0,536.0,46008.0,97955.0,1250.0,0.6433888532542351,4.0,Employed,High School,43.0,4194.0,0.111197,0.1229013596262149,474.6292455245566,0.6237033964196453,0.0,48.687986429513565
2010-09-30,39.0,15000.0,761.0,27703.0,36.0,Married,1.0,Rent,1197.0,0.3755876831797487,5.0,0.0,0.2297336673044898,0.0,Other,0.0,23.0,21.0,1267.0,1116.0,38733.0,654.0,1250.0,0.7197875414844102,4.0,Self-Employed,High School,18.0,38079.0,0.142203,0.1408022438784132,947.9026620047262,1.715922129603781,0.0,-9999999.0
2007-12-21,39.0,15000.0,387.0,6935.0,108.0,Married,0.0,Other,284.0,0.2223938736057284,3.0,1.0,0.6693294640728467,0.0,Auto,0.0,24.0,24.0,1103.0,2534.0,17839.0,39287.0,1250.0,0.7036235369022876,8.0,Employed,High School,15.0,5309.0,0.368435,0.3059963012559719,189.31867210419472,0.3786549376833558,0.0,79.73497873534858
2019-09-15,62.0,71716.0,626.0,25877.0,36.0,Married,1.0,Rent,1014.0,0.2355025970895278,5.0,1.0,0.1940877877534492,0.0,Auto,0.0,25.0,6.0,1476.0,4278.0,10633.0,96948.0,5976.333333333333,0.589351226412109,1.0,Employed,High School,36.0,1588.0,0.207877,0.1820846259998175,938.223852654972,0.3266591309032805,0.0,62.51929410429389
2018-06-29,45.0,300000.0,715.0,41720.0,48.0,Married,1.0,Rent,441.0,0.3209295612653016,5.0,4.0,0.1597555337805053,0.0,Auto,0.0,24.0,19.0,1571.0,441.0,36422.0,8767.0,25000.0,0.9263599882620976,9.0,Employed,High School,22.0,27655.0,0.18922,0.1994781690311201,1268.3950701343167,0.0683758028053726,1.0,32.20183551174071
1987-04-13,25.0,18631.0,465.0,52862.0,60.0,Widowed,2.0,Own,520.0,0.1023885827890353,3.0,0.0,0.7699026460025995,0.0,Debt Consolidation,0.0,27.0,25.0,3528.0,1382.0,742916.0,22340.0,1552.5833333333333,0.8994339964758051,4.0,Employed,High School,1.0,720576.0,0.335362,0.3473561316109412,1867.1505810154413,1.5375345913899037,0.0,66.93546754828108
1979-09-09,70.0,15000.0,475.0,15450.0,12.0,Married,1.0,Mortgage,365.0,0.2978316325259634,2.0,2.0,0.3558029153322254,0.0,Debt Consolidation,0.0,24.0,27.0,629.0,824.0,6035.0,264345.0,1250.0,0.8848233552519524,1.0,Employed,High School,47.0,5186.0,0.25295,0.2206871080624,1446.5441261459227,1.4492353009167382,0.0,77.69139943945278
2012-04-03,55.0,92734.0,850.0,16615.0,60.0,Married,1.0,Own,495.0,0.2144545683719312,3.0,2.0,0.5733479823342679,0.0,Debt Consolidation,0.0,24.0,17.0,10455.0,302.0,28878.0,9359.0,7727.833333333333,0.686949437378176,6.0,Self-Employed,Bachelor,33.0,19519.0,0.106615,0.0922657612058308,346.7300014649109,0.1089218627211047,1.0,38.05946795928466
2010-04-26,41.0,15000.0,483.0,9637.0,24.0,Married,1.0,Other,144.0,0.0834212433408226,3.0,3.0,0.5648351481522927,0.0,Education,0.0,23.0,13.0,5170.0,3759.0,21572.0,18674.0,1250.0,0.9764335687511452,7.0,Self-Employed,High School,23.0,2898.0,0.253137,0.2378608424761628,508.4904294740688,0.5219923435792551,0.0,79.15885047248192
1998-06-02,62.0,300000.0,800.0,43244.0,36.0,Married,0.0,Rent,1829.0,0.3027633370621192,3.0,1.0,0.1158210495330407,0.0,Debt Consolidation,0.0,24.0,20.0,1002.0,1543.0,50766.0,59141.0,25000.0,0.9046287739042792,7.0,Employed,High School,40.0,7567.0,0.138244,0.1349176076099811,1467.32523778955,0.131853009511582,1.0,32.63005829508373
1981-07-21,36.0,133068.0,664.0,20630.0,36.0,Divorced,1.0,Rent,846.0,0.5028957211065332,1.0,1.0,0.2853670874633304,0.0,Auto,0.0,20.0,12.0,2623.0,1836.0,757945.0,2120.0,11089.0,0.9111760979448048,3.0,Employed,Associate,10.0,755825.0,0.18363,0.1869770488827448,753.0643293359949,0.1442027531189462,1.0,29.7268837948282
1998-10-05,59.0,300000.0,850.0,10819.0,96.0,Married,2.0,Mortgage,618.0,0.3476133818699615,1.0,2.0,0.1673576267780118,0.0,Education,0.0,28.0,9.0,15925.0,2302.0,18227.0,3601.0,25000.0,0.6288694931872103,5.0,Unemployed,High School,34.0,14626.0,0.130819,0.1474093172488973,192.5328462819604,0.0324213138512784,1.0,34.59194743535411
1989-02-01,38.0,15000.0,488.0,18697.0,36.0,Married,0.0,Rent,347.0,0.0805017001700495,3.0,2.0,0.5204813289200997,0.0,Other,0.0,23.0,5.0,17184.0,1954.0,19138.0,7850.0,1250.0,0.8356603265341179,7.0,Employed,Master,15.0,11288.0,0.2696969999999999,0.2662046098034982,759.507095464887,0.8852056763719096,0.0,75.47004259785064
2001-11-29,53.0,25025.0,516.0,17044.0,48.0,Single,1.0,Rent,1049.0,0.0383574803981969,3.0,1.0,0.1203567431253195,0.0,Education,0.0,22.0,28.0,3233.0,8894.0,64255.0,6332.0,2085.4166666666665,0.6778239563672801,5.0,Employed,Bachelor,32.0,57923.0,0.264044,0.2784407113483984,592.5002558003464,0.787132989794372,0.0,62.381217708867
2004-12-13,43.0,260082.0,850.0,25830.0,36.0,Single,0.0,Rent,567.0,0.443251824262219,5.0,3.0,0.2218009546440477,0.0,Home,0.0,30.0,24.0,36282.0,827.0,55725.0,97894.0,21673.5,0.8629972773616292,6.0,Employed,Master,21.0,8877.0,0.09583,0.1035663569934725,837.7930716930949,0.0648161612888133,1.0,33.12409126328813
